factor,noise_arm,feature,mu_level,sustained,first_fail,n_recoveries,trend_rho,trend_p,auc_best,auc_worst,auc_se_mean,n_detectable,n_levels
noise,rel,barcode_mean_len,high,none (>= 0.200),0.100,2,-0.7212121212121211,0.018573155089460225,0.995,0.835,0.05915081660998208,8,10
noise,rel,barcode_mean_len,low,0.080,0.080,0,-0.9878787878787878,9.307459988955516e-08,0.9675,0.71,0.072722512232451,3,10
noise,rel,barcode_mean_len,mid,0.200,0.080,2,-0.6200636545536659,0.055822633402221926,0.9925,0.8575,0.05817982473036656,7,10
noise,rel,barcode_var_len,high,0.180,0.140,1,-0.9848069807617047,2.2888344854823721e-07,1.0,0.815,0.04783034937685471,7,10
noise,rel,barcode_var_len,low,0.100,0.100,0,-0.9636363636363635,7.32097480952992e-06,0.985,0.6525,0.07161598393654,4,10
noise,rel,barcode_var_len,mid,0.120,0.120,0,-0.9878787878787878,9.307459988955516e-08,1.0,0.715,0.060429969906824386,5,10
noise,rel,betti,high,fails at all levels,0.020,0,0.9151515151515152,0.0002044724061488323,0.745,0.3375,0.09920453345866659,0,10
noise,rel,betti,low,fails at all levels,0.020,0,0.7818181818181817,0.007547007781067879,0.8175,0.46875,0.09951119166954762,0,10
noise,rel,betti,mid,fails at all levels,0.020,0,0.7963562622208846,0.005836997302932195,0.825,0.31625,0.09605905627655188,0,10
noise,abs,barcode_mean_len,high,none (>= 0.039),none,0,-0.11227767568262165,0.6279940118382892,1.0,0.98,0.00667007614860018,21,21
noise,abs,barcode_mean_len,low,0.451,0.272,2,-0.7738793056678381,3.8567218806339216e-05,0.98,0.6125,0.07214841413324347,9,21
noise,abs,barcode_mean_len,mid,none (>= 0.130),none,0,-0.45545441636240863,0.03800505721587922,1.0,0.93,0.026531546465841188,21,21
noise,abs,barcode_var_len,high,none (>= 0.039),none,0,,,1.0,1.0,0.0,21,21
noise,abs,barcode_var_len,low,0.236,0.236,0,-0.9467532467532468,8.442873280491462e-11,0.9625,0.355,0.08776893798221652,3,21
noise,abs,barcode_var_len,mid,none (>= 0.130),none,0,-0.5299338824105009,0.013476950084646113,1.0,0.975,0.013509031432776163,21,21
noise,abs,betti,high,0.009,0.009,0,-0.8610389610389609,5.432846382166252e-07,0.9925,0.295,0.08867676654552824,1,21
noise,abs,betti,low,none (>= 0.609),0.136,6,0.5654861316226808,0.007549308779907399,0.98,0.6175,0.06341963104900304,15,21
noise,abs,betti,mid,0.029,0.029,0,0.6313738559691612,0.00214359685868042,0.99875,0.2725,0.08918341252679375,1,21
scarcity,abs,barcode_mean_len,high,0.100,0.100,0,0.3446561747421316,0.32942046349933674,1.0,0.895,0.017753692404552976,9,10
scarcity,abs,barcode_mean_len,low,0.100,0.100,0,0.9240164263936983,0.00013295265816009048,0.985,0.7625,0.0438008646022127,9,10
scarcity,abs,barcode_mean_len,mid,0.100,0.100,0,0.9245067028843873,0.000129632685915541,1.0,0.7225,0.023322371074640007,9,10
scarcity,abs,barcode_var_len,high,0.100,0.100,0,0.925451991231469,0.0001234046894593657,1.0,0.7375,0.02754452534428208,9,10
scarcity,abs,barcode_var_len,low,0.300,0.300,0,0.9939209163101398,5.931422714952701e-09,0.9625,0.5375,0.0637785681969393,7,10
scarcity,abs,barcode_var_len,mid,0.100,0.100,0,0.9341987329938275,7.571865577837222e-05,1.0,0.6625,0.027234360744224924,9,10
scarcity,abs,betti,high,0.100,0.100,0,0.6626170426112704,0.03680640234866448,0.995,0.8875,0.03694812724328124,9,10
scarcity,abs,betti,low,0.100,0.100,0,0.9240164263936983,0.00013295265816009048,0.98375,0.7625,0.04375580016835188,9,10
scarcity,abs,betti,mid,0.100,0.100,0,0.793940116816696,0.006099843437230117,1.0,0.7075,0.026236661661324018,9,10
