feature,rho_level,n,kw_H,kw_p,eps_sq,kw_p_bh
betti,r0,60,29.14146153846152,4.6990712449308234e-07,0.4761659919028337,6.407824424905669e-07
betti,r1,60,11.197246871444815,0.003702957568781627,0.16135520827096167,0.003702957568781627
betti,r2,60,22.58271300448432,1.2480333130350864e-05,0.3611002281488477,1.5600416412938578e-05
betti,r3,60,21.309287787452565,2.359103257620442e-05,0.33875943486758886,2.722042220331279e-05
betti,r4,60,38.96838939630209,3.452405169738102e-09,0.6485682350228438,5.75400861623017e-09
barcode_mean_len,r0,60,37.52935687263553,7.08930564000321e-09,0.6233220503971146,1.0633958460004816e-08
barcode_mean_len,r1,60,48.53911882510015,2.883130290696308e-11,0.816475768861406,5.405869295055577e-11
barcode_mean_len,r2,60,52.514463729417,3.950291016332502e-12,0.8862186619195965,9.933584740679537e-12
barcode_mean_len,r3,60,52.502780867630705,3.973433896271815e-12,0.8860136994321176,9.933584740679537e-12
barcode_mean_len,r4,60,52.502780867630705,3.973433896271815e-12,0.8860136994321176,9.933584740679537e-12
barcode_var_len,r0,60,18.038216560509575,0.00012107404223033823,0.2813722203598171,0.00012972218810393383
barcode_var_len,r1,60,50.484346470719196,1.0900927535001033e-11,0.8506025696617403,2.335913043214507e-11
barcode_var_len,r2,60,52.502780867630705,3.973433896271815e-12,0.8860136994321176,9.933584740679537e-12
barcode_var_len,r3,60,52.502780867630705,3.973433896271815e-12,0.8860136994321176,9.933584740679537e-12
barcode_var_len,r4,60,52.502780867630705,3.973433896271815e-12,0.8860136994321176,9.933584740679537e-12
