generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,42.236363636363635,57.0,1.0,1.0,1.0,9,24.802
200,1000,78.16363636363636,96.0,1.0,1.0,1.0,14,49.454
300,1000,114.58181818181818,135.0,1.0,1.0,1.0,8,73.589
400,1000,143.07272727272726,169.0,1.0,1.0,1.0,11,98.178
500,1000,171.2,197.0,1.0,1.0,1.0,9,124.209
600,1000,195.05454545454546,221.0,1.0,1.0,1.0,8,148.366
700,1000,206.74545454545455,241.0,1.0,1.0,1.0,12,173.478
800,1000,227.8181818181818,270.0,1.0,1.0,1.0,8,198.284
900,1000,237.56363636363636,274.0,1.0,1.0,1.0,11,223.003
1000,1000,250.23636363636365,287.0,1.0,1.0,1.0,12,246.987
1100,1000,255.72727272727272,298.0,1.0,1.0,1.0,10,272.827
1200,1000,267.3090909090909,303.0,1.0,1.0,1.0,9,296.99
1300,1000,262.56363636363636,310.0,1.0,1.0,1.0,9,321.914
1400,1000,273.8,309.0,1.0,1.0,1.0,8,346.505
1500,1000,285.03636363636366,315.0,1.0,1.0,1.0,8,369.419
1600,1000,266.27272727272725,315.0,1.0,1.0,1.0,12,394.923
1700,1000,290.43636363636364,335.0,1.0,1.0,1.0,8,420.53
1800,1000,293.4727272727273,347.0,1.0,1.0,1.0,8,444.23
1900,1000,290.3090909090909,324.0,1.0,1.0,1.0,8,469.192
2000,1000,293.07272727272726,341.0,1.0,1.0,1.0,9,493.61
