generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,3.309090909090909,8.0,1.0,1.0,1.0,25,2.329
200,1000,4.363636363636363,8.0,1.0,1.0,1.0,22,4.597
300,1000,8.0,13.0,1.0,1.0,1.0,33,7.225
400,1000,9.309090909090909,15.0,1.0,1.0,1.0,25,9.146
500,1000,9.672727272727272,17.0,1.0,1.0,1.0,25,11.46
600,1000,9.963636363636363,13.0,1.0,1.0,1.0,21,14.095
700,1000,13.854545454545455,20.0,1.0,1.0,1.0,30,15.616
800,1000,10.836363636363636,17.0,1.0,1.0,1.0,41,18.224
900,1000,12.618181818181819,21.0,1.0,1.0,1.0,32,20.977
1000,1000,13.327272727272728,18.0,1.0,1.0,1.0,25,23.004
1100,1000,13.654545454545454,19.0,1.0,1.0,1.0,22,25.816
1200,1000,12.163636363636364,19.0,1.0,1.0,1.0,42,28.343
1300,1000,15.89090909090909,22.0,1.0,1.0,1.0,31,30.304
1400,1000,16.545454545454547,26.0,1.0,1.0,1.0,26,31.938
1500,1000,17.236363636363638,25.0,1.0,1.0,1.0,34,33.877
1600,1000,17.745454545454546,27.0,1.0,1.0,1.0,36,36.866
1700,1000,19.89090909090909,30.0,1.0,1.0,1.0,33,40.214
1800,1000,20.87272727272727,35.0,1.0,1.0,1.0,33,42.398
1900,1000,17.818181818181817,28.0,1.0,1.0,1.0,25,43.742
2000,1000,21.4,30.0,1.0,1.0,1.0,22,46.064
