generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,8.963636363636363,16.0,1.0,1.0,1.0,25,11.917
200,1000,17.2,27.0,1.0,1.0,1.0,29,23.606
300,1000,24.381818181818183,36.0,1.0,1.0,1.0,32,36.438
400,1000,30.636363636363637,53.0,1.0,1.0,1.0,24,47.225
500,1000,44.92727272727273,59.0,1.0,1.0,1.0,26,59.431
600,1000,54.36363636363637,74.0,1.0,1.0,1.0,21,69.759
700,1000,56.21818181818182,78.0,1.0,1.0,1.0,34,82.468
800,1000,53.29090909090909,80.0,1.0,1.0,1.0,34,94.5
900,1000,61.872727272727275,87.0,1.0,1.0,1.0,24,107.9
1000,1000,69.52727272727273,94.0,1.0,1.0,1.0,33,117.232
1100,1000,73.43636363636364,100.0,1.0,1.0,1.0,26,131.421
1200,1000,73.74545454545455,109.0,1.0,1.0,1.0,28,142.687
1300,1000,82.32727272727273,115.0,1.0,1.0,1.0,26,153.904
1400,1000,82.07272727272728,111.0,1.0,1.0,1.0,29,166.487
1500,1000,85.34545454545454,126.0,1.0,1.0,1.0,31,179.566
1600,1000,71.58181818181818,118.0,1.0,1.0,1.0,43,187.162
1700,1000,61.527272727272724,115.0,1.0,1.0,1.0,56,197.531
1800,1000,87.16363636363636,132.0,1.0,1.0,1.0,35,213.287
1900,1000,84.18181818181819,129.0,1.0,1.0,1.0,31,225.264
2000,1000,86.54545454545455,119.0,1.0,1.0,1.0,22,234.97
