generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,41.85454545454545,58.0,1.0,1.0,1.0,13,28.277
200,1000,92.10909090909091,117.0,1.0,1.0,1.0,12,56.186
300,1000,124.8,158.0,1.0,1.0,1.0,10,81.491
400,1000,157.3272727272727,194.0,1.0,1.0,1.0,12,108.94
500,1000,174.8181818181818,244.0,1.0,1.0,1.0,11,135.604
600,1000,188.36363636363637,268.0,1.0,1.0,1.0,9,163.011
700,1000,220.94545454545454,308.0,1.0,1.0,1.0,9,191.925
800,1000,206.05454545454546,325.0,1.0,1.0,1.0,8,217.794
900,1000,205.76363636363635,360.0,1.0,1.0,1.0,7,245.367
1000,1000,186.8,377.0,1.0,1.0,1.0,15,271.433
1100,1000,240.43636363636364,413.0,1.0,1.0,1.0,9,300.88
1200,1000,232.07272727272726,440.0,1.0,1.0,1.0,9,326.369
1300,1000,194.3090909090909,317.0,1.0,1.0,1.0,10,353.76
1400,1000,264.7090909090909,466.0,1.0,1.0,1.0,11,381.569
1500,1000,325.6909090909091,492.0,1.0,1.0,1.0,13,409.932
1600,1000,318.7818181818182,513.0,1.0,1.0,1.0,10,436.938
1700,1000,305.8727272727273,517.0,1.0,1.0,1.0,10,464.354
1800,1000,356.27272727272725,540.0,1.0,1.0,1.0,10,492.059
1900,1000,359.45454545454544,558.0,1.0,1.0,1.0,9,518.576
2000,1000,349.0181818181818,569.0,1.0,1.0,1.0,10,545.556
