generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,0.5454545454545454,2.0,1.0,1.0,1.0,868,1.218
200,1000,1.2363636363636363,3.0,1.0,1.0,1.0,438,7.236
300,1000,1.7818181818181817,5.0,1.0,1.0,1.0,485,7.28
400,1000,1.5636363636363637,5.0,1.0,1.0,1.0,361,16.304
500,1000,2.4727272727272727,6.0,1.0,1.0,1.0,217,19.155
600,1000,1.8909090909090909,4.0,1.0,1.0,1.0,242,22.723
700,1000,1.6727272727272726,4.0,1.0,1.0,1.0,280,30.984
800,1000,3.418181818181818,7.0,1.0,1.0,1.0,256,34.484
900,1000,2.290909090909091,6.0,1.0,1.0,1.0,495,44.858
1000,1000,2.690909090909091,5.0,1.0,1.0,1.0,410,45.911
1100,1000,2.981818181818182,6.0,1.0,1.0,1.0,362,45.995
1200,1000,3.381818181818182,9.0,1.0,1.0,1.0,376,51.265
1300,1000,3.7818181818181817,8.0,1.0,1.0,1.0,523,55.429
1400,1000,2.1818181818181817,6.0,1.0,1.0,1.0,457,58.666
1500,1000,2.8727272727272726,9.0,1.0,1.0,1.0,485,64.812
1600,1000,4.254545454545455,10.0,1.0,1.0,1.0,408,66.4
1700,1000,4.618181818181818,10.0,1.0,1.0,1.0,342,73.534
1800,1000,4.545454545454546,12.0,1.0,1.0,1.0,525,78.972
1900,1000,4.945454545454545,11.0,1.0,1.0,1.0,230,86.744
2000,1000,4.036363636363636,12.0,1.0,1.0,1.0,242,85.997
