generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,4.509090909090909,7.0,1.0,1.0,1.0,85,10.626
200,1000,9.6,16.0,1.0,1.0,1.0,48,21.985
300,1000,13.709090909090909,19.0,1.0,1.0,1.0,55,32.431
400,1000,18.10909090909091,26.0,1.0,1.0,1.0,54,41.131
500,1000,16.763636363636362,25.0,1.0,1.0,1.0,61,55.214
600,1000,20.145454545454545,29.0,1.0,1.0,1.0,52,65.266
700,1000,21.12727272727273,39.0,1.0,1.0,1.0,108,72.894
800,1000,25.327272727272728,39.0,1.0,1.0,1.0,52,84.904
900,1000,32.29090909090909,46.0,1.0,1.0,1.0,49,98.083
1000,1000,29.672727272727272,46.0,1.0,1.0,1.0,62,111.424
1100,1000,36.92727272727273,54.0,1.0,1.0,1.0,49,122.175
1200,1000,34.27272727272727,51.0,1.0,1.0,1.0,57,131.113
1300,1000,39.54545454545455,58.0,1.0,1.0,1.0,83,138.115
1400,1000,38.945454545454545,61.0,1.0,1.0,1.0,62,147.706
1500,1000,41.30909090909091,68.0,1.0,1.0,1.0,71,164.043
1600,1000,43.32727272727273,76.0,1.0,1.0,1.0,76,175.003
1700,1000,52.163636363636364,79.0,1.0,1.0,1.0,56,181.444
1800,1000,37.92727272727273,86.0,1.0,1.0,1.0,54,196.419
1900,1000,53.763636363636365,91.0,1.0,1.0,1.0,64,202.222
2000,1000,50.69090909090909,96.0,1.0,1.0,1.0,55,219.384
