generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,3.709090909090909,7.0,1.0,1.0,1.0,106,9.375
200,1000,8.381818181818181,14.0,1.0,1.0,1.0,59,21.394
300,1000,11.327272727272728,18.0,1.0,1.0,1.0,84,33.554
400,1000,14.909090909090908,25.0,1.0,1.0,1.0,72,42.582
500,1000,14.181818181818182,26.0,1.0,1.0,1.0,72,52.335
600,1000,15.563636363636364,24.0,1.0,1.0,1.0,53,65.24
700,1000,10.072727272727272,20.0,1.0,1.0,1.0,38,77.922
800,1000,22.98181818181818,39.0,1.0,1.0,1.0,39,90.261
900,1000,26.29090909090909,40.0,1.0,1.0,1.0,76,98.301
1000,1000,32.945454545454545,51.0,1.0,1.0,1.0,56,111.901
1100,1000,29.963636363636365,48.0,1.0,1.0,1.0,76,121.869
1200,1000,39.45454545454545,56.0,1.0,1.0,1.0,78,136.395
1300,1000,36.92727272727273,57.0,1.0,1.0,1.0,57,144.156
1400,1000,32.345454545454544,56.0,1.0,1.0,1.0,71,153.905
1500,1000,36.61818181818182,60.0,1.0,1.0,1.0,61,168.3
1600,1000,37.29090909090909,62.0,1.0,1.0,1.0,126,177.924
1700,1000,41.29090909090909,66.0,1.0,1.0,1.0,60,190.501
1800,1000,38.74545454545454,72.0,1.0,1.0,1.0,69,200.231
1900,1000,41.654545454545456,77.0,1.0,1.0,1.0,56,214.127
2000,1000,50.50909090909091,83.0,1.0,1.0,1.0,51,224.478
