generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,4.472727272727273,8.0,1.0,1.0,1.0,43,9.836
200,1000,7.890909090909091,16.0,1.0,1.0,1.0,91,21.048
300,1000,15.181818181818182,25.0,1.0,1.0,1.0,48,30.548
400,1000,17.78181818181818,25.0,1.0,1.0,1.0,42,40.847
500,1000,22.4,31.0,1.0,1.0,1.0,57,52.419
600,1000,18.418181818181818,30.0,1.0,1.0,1.0,73,59.754
700,1000,28.945454545454545,45.0,1.0,1.0,1.0,74,77.53
800,1000,24.327272727272728,47.0,1.0,1.0,1.0,79,87.129
900,1000,17.072727272727274,43.0,1.0,1.0,1.0,43,96.173
1000,1000,12.545454545454545,26.0,1.0,1.0,1.0,79,107.514
1100,1000,17.236363636363638,38.0,1.0,1.0,1.0,79,115.172
1200,1000,21.09090909090909,43.0,1.0,1.0,1.0,58,131.901
1300,1000,19.490909090909092,32.0,1.0,1.0,1.0,50,145.138
1400,1000,20.254545454545454,36.0,1.0,1.0,1.0,53,152.503
1500,1000,14.854545454545455,36.0,1.0,1.0,1.0,61,157.783
1600,1000,24.145454545454545,45.0,1.0,1.0,1.0,55,172.252
1700,1000,30.09090909090909,47.0,1.0,1.0,1.0,60,181.653
1800,1000,29.12727272727273,52.0,1.0,1.0,1.0,39,201.079
1900,1000,26.436363636363637,54.0,1.0,1.0,1.0,69,207.831
2000,1000,17.727272727272727,57.0,1.0,1.0,1.0,54,212.552
