generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,5.454545454545454,10.0,1.0,1.0,1.0,20,5.09
200,1000,7.781818181818182,13.0,1.0,1.0,1.0,29,10.904
300,1000,11.418181818181818,20.0,1.0,1.0,1.0,36,16.083
400,1000,14.654545454545454,22.0,1.0,1.0,1.0,37,21.562
500,1000,15.981818181818182,23.0,1.0,1.0,1.0,37,27.829
600,1000,22.527272727272727,33.0,1.0,1.0,1.0,26,32.513
700,1000,24.01818181818182,34.0,1.0,1.0,1.0,25,37.258
800,1000,27.272727272727273,41.0,1.0,1.0,1.0,20,43.583
900,1000,31.490909090909092,44.0,1.0,1.0,1.0,19,49.348
1000,1000,33.49090909090909,47.0,1.0,1.0,1.0,32,55.223
1100,1000,35.61818181818182,50.0,1.0,1.0,1.0,25,59.988
1200,1000,37.61818181818182,50.0,1.0,1.0,1.0,28,64.927
1300,1000,36.0,47.0,1.0,1.0,1.0,33,71.623
1400,1000,35.38181818181818,51.0,1.0,1.0,1.0,24,77.023
1500,1000,36.10909090909091,51.0,1.0,1.0,1.0,21,83.157
1600,1000,35.30909090909091,49.0,1.0,1.0,1.0,26,87.919
1700,1000,31.163636363636364,41.0,1.0,1.0,1.0,31,93.687
1800,1000,33.10909090909091,44.0,1.0,1.0,1.0,33,99.856
1900,1000,35.09090909090909,46.0,1.0,1.0,1.0,39,104.402
2000,1000,37.81818181818182,49.0,1.0,1.0,1.0,23,106.521
