generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
100,1000,2.5454545454545454,4.0,1.0,1.0,1.0,375,5.636
200,1000,3.2363636363636363,6.0,1.0,1.0,1.0,184,14.125
300,1000,3.3454545454545452,7.0,1.0,1.0,1.0,173,21.317
400,1000,4.836363636363636,10.0,1.0,1.0,1.0,148,32.333
500,1000,6.036363636363636,11.0,1.0,1.0,1.0,123,43.627
600,1000,9.927272727272728,17.0,1.0,1.0,1.0,107,52.751
700,1000,13.709090909090909,21.0,1.0,1.0,1.0,117,63.681
800,1000,7.490909090909091,15.0,1.0,1.0,1.0,152,65.237
900,1000,8.8,16.0,1.0,1.0,1.0,98,81.848
1000,1000,11.854545454545455,20.0,1.0,1.0,1.0,120,90.547
1100,1000,8.727272727272727,18.0,1.0,1.0,1.0,90,92.619
1200,1000,13.927272727272728,21.0,1.0,1.0,1.0,93,100.035
1300,1000,17.01818181818182,30.0,1.0,1.0,1.0,86,106.086
1400,1000,19.30909090909091,33.0,1.0,1.0,1.0,65,114.666
1500,1000,20.8,34.0,1.0,1.0,1.0,141,98.331
1600,1000,14.545454545454545,40.0,1.0,1.0,1.0,163,107.31
1700,1000,10.963636363636363,39.0,1.0,1.0,1.0,117,126.118
1800,1000,6.836363636363636,10.0,1.0,1.0,1.0,71,130.266
1900,1000,8.618181818181819,14.0,1.0,1.0,1.0,154,142.928
2000,1000,9.236363636363636,16.0,1.0,1.0,1.0,134,145.541
